slno,MATH1,MATH2,EM1,EM2,SATS,PS,PRP,SE,M3,M4,S1,S2,SG,SG1,MG1,MG2,EMG1,PS1,,,,,
109,14,35,14,30,23,32,13,30,17,64,22,42,A+,A++,B+,A++,A++,A,,,,,
110,12,12,13,30,21,22,13,32,8,34,18,25,FF,A++,C,O,C,C,,,,,
111,6,0,7,6,0,0,0,13,0,0,9,15,FF,FF,FF,FF,FF,FF,,,,,
112,13,26,13,28,23,35,12,27,15,37,20,41,B+,A++,B+,A+,B,A,,,,,
113,20,47,15,34,29,62,14,33,29,65,29,64,O,O,O,O,O,O,,,,,
114,15,35,14,33,27,47,14,32,24,54,26,35,A+,O,A+,O,A+,A,,,,,
115,15,29,14,33,25,38,13,29,17,52,26,47,A,O,A,A++,A,A+,,,,,
116,13,31,14,30,19,33,14,29,8,40,18,5,A,A++,B,A++,C+,FF,,,,,
117,5,16,11,21,15,14,15,30,9,15,16,14,FF,A,FF,O,FF,FF,,,,,
118,13,23,14,31,23,31,14,27,16,43,20,39,B,O,B,A++,B+,B+,,,,,
119,15,30,14,31,25,41,14,32,13,48,21,43,A,O,A,O,A,A,,,,,
120,12,26,14,28,22,22,13,29,14,35,14,21,B,A++,C,A++,C+,FF,,,,,
121,18,41,14,33,27,55,13,30,23,52,29,56,A++,O,A++,A++,A+,A++,,,,,
122,12,22,14,28,25,37,10,30,10,37,20,38,C+,A++,A,A++,C+,B+,,,,,
123,11,17,14,28,17,25,12,29,6,26,14,28,C,A++,C,A++,FF,C,,,,,
124,19,37,15,34,27,47,13,30,26,66,30,50,A++,O,A+,A++,O,A++,,,,,
125,17,39,14,30,24,55,15,33,22,59,22,51,A++,A++,A+,O,A++,A+,,,,,
126,12,36,12,26,25,59,14,34,28,61,28,46,A,A+,A++,O,A++,A+,,,,,
127,12,22,12,26,17,31,12,32,12,27,15,46,C+,A+,C+,A++,FF,A,,,,,
128,17,47,15,34,25,56,15,33,25,70,25,67,O,O,A++,O,O,O,,,,,
129,13,33,13,20,24,43,13,29,17,49,18,56,A,A,A,A++,A,A+,,,,,
130,15,30,14,32,25,42,13,34,19,48,25,49,A,O,A,O,A,A+,,,,,
131,12,23,12,26,25,35,14,32,16,35,22,41,B,A+,A,O,B,A,,,,,
